YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.JdbcDBClient -P /root/ycsb/config/postgresql.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-stress-load -s -threads 30 -target 20 -t
 0 sec: 0 operations; 
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
 10 sec: 188 operations; 18.72 current ops/sec;     
 20 sec: 391 operations; 20.29 current ops/sec;     
 30 sec: 596 operations; 20.5 current ops/sec;     
 40 sec: 788 operations; 19.2 current ops/sec;     
 50 sec: 991 operations; 20.3 current ops/sec;     
 60 sec: 1196 operations; 20.5 current ops/sec;     
 70 sec: 1388 operations; 19.2 current ops/sec;     
 80 sec: 1591 operations; 20.3 current ops/sec;     
 90 sec: 1796 operations; 20.5 current ops/sec;     
 100 sec: 1988 operations; 19.2 current ops/sec;     
 110 sec: 2190 operations; 20.2 current ops/sec;     
 120 sec: 2396 operations; 20.6 current ops/sec;     
 130 sec: 2588 operations; 19.2 current ops/sec;     
 140 sec: 2790 operations; 20.2 current ops/sec;     
 150 sec: 2996 operations; 20.6 current ops/sec;     
 160 sec: 3188 operations; 19.2 current ops/sec;     
 170 sec: 3391 operations; 20.3 current ops/sec;     
 180 sec: 3596 operations; 20.5 current ops/sec;     
 190 sec: 3789 operations; 19.3 current ops/sec;     
 200 sec: 3990 operations; 20.1 current ops/sec;     
 210 sec: 4196 operations; 20.6 current ops/sec;     
 220 sec: 4388 operations; 19.2 current ops/sec;     
 230 sec: 4591 operations; 20.3 current ops/sec;     
 240 sec: 4796 operations; 20.5 current ops/sec;     
 250 sec: 4988 operations; 19.2 current ops/sec;     
 260 sec: 5191 operations; 20.3 current ops/sec;     
 270 sec: 5396 operations; 20.5 current ops/sec;     
 280 sec: 5589 operations; 19.3 current ops/sec;     
 290 sec: 5791 operations; 20.2 current ops/sec;     
 300 sec: 5996 operations; 20.5 current ops/sec;     
 310 sec: 6189 operations; 19.3 current ops/sec;     
 320 sec: 6391 operations; 20.2 current ops/sec;     
 330 sec: 6596 operations; 20.5 current ops/sec;     
 340 sec: 6789 operations; 19.3 current ops/sec;     
 350 sec: 6991 operations; 20.2 current ops/sec;     
 360 sec: 7196 operations; 20.5 current ops/sec;     
 370 sec: 7398 operations; 19.95 current ops/sec;     
 380 sec: 7593 operations; 19.5 current ops/sec;     
 390 sec: 7798 operations; 20.5 current ops/sec;     
 400 sec: 7998 operations; 20 current ops/sec;     
 410 sec: 8193 operations; 19.5 current ops/sec;     
 420 sec: 8398 operations; 20.5 current ops/sec;     
 430 sec: 8598 operations; 20 current ops/sec;     
 440 sec: 8793 operations; 19.5 current ops/sec;     
 450 sec: 8999 operations; 20.6 current ops/sec;     
 460 sec: 9198 operations; 19.9 current ops/sec;     
 470 sec: 9393 operations; 19.49 current ops/sec;     
 480 sec: 9599 operations; 20.6 current ops/sec;     
 490 sec: 9798 operations; 19.9 current ops/sec;     
 500 sec: 9993 operations; 19.5 current ops/sec;     
 510 sec: 10199 operations; 20.6 current ops/sec;     
 520 sec: 10392 operations; 19.3 current ops/sec;     
 530 sec: 10593 operations; 20.1 current ops/sec;     
 540 sec: 10799 operations; 20.6 current ops/sec;     
 550 sec: 10998 operations; 19.9 current ops/sec;     
 560 sec: 11193 operations; 19.5 current ops/sec;     
 570 sec: 11399 operations; 20.6 current ops/sec;     
 580 sec: 11598 operations; 19.9 current ops/sec;     
 590 sec: 11793 operations; 19.5 current ops/sec;     
 600 sec: 11996 operations; 20.3 current ops/sec;      
 601 sec: 11996 operations; 0 current ops/sec;      
[OVERALL], RunTime(ms), 601523.0
[OVERALL], Throughput(ops/sec), 19.942712082497263
[UPDATE], Operations, 2384
[UPDATE], AverageLatency(us), 47672.145553691276
[UPDATE], MinLatency(us), 21711
[UPDATE], MaxLatency(us), 899026
[UPDATE], Return=0, 2384
[UPDATE], 0, 41194.6
[UPDATE], 1000, 40681.666666666664
[UPDATE], 2000, 77218.0
[UPDATE], 3000, 32704.5
[UPDATE], 4000, 40805.833333333336
[UPDATE], 5000, 33892.0
[UPDATE], 6000, 29816.666666666668
[UPDATE], 7000, 36222.6
[UPDATE], 8000, 39893.0
[UPDATE], 9000, 30988.4
[UPDATE], 10000, 30116.166666666668
[UPDATE], 11000, 64933.666666666664
[UPDATE], 12000, 42073.25
