YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.JdbcDBClient -P /root/ycsb/config/postgresql.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -threads 30 -target 100 -p eventFile=/root/ycsb/config/postgresql/postgresql-event-vmpg1-drop.xml -t
 0 sec: 0 operations; 
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Adding shard node URL: jdbc:postgresql://vmpg3:5432/ycsb
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
Using 1 shards
 10 sec: 959 operations; 95.66 current ops/sec;     
 20 sec: 1958 operations; 99.86 current ops/sec;     
 30 sec: 2956 operations; 99.78 current ops/sec;     
 40 sec: 3959 operations; 100.29 current ops/sec;  [INSERT AverageLatency(us)=12733]   
 50 sec: 4958 operations; 99.88 current ops/sec;     
 60 sec: 5957 operations; 99.89 current ops/sec;     
 70 sec: 6960 operations; 100.29 current ops/sec;     
 80 sec: 7959 operations; 99.88 current ops/sec;     
 90 sec: 8956 operations; 99.69 current ops/sec;     
 100 sec: 9960 operations; 100.38 current ops/sec;     
 110 sec: 10959 operations; 99.89 current ops/sec;     
 120 sec: 11957 operations; 99.79 current ops/sec;     
 130 sec: 12960 operations; 100.28 current ops/sec;     
 140 sec: 13959 operations; 99.89 current ops/sec;     
 150 sec: 14958 operations; 99.89 current ops/sec;     
 160 sec: 15961 operations; 100.28 current ops/sec;     
 170 sec: 16960 operations; 99.82 current ops/sec;     
 180 sec: 17960 operations; 99.98 current ops/sec;     
 190 sec: 18962 operations; 100.19 current ops/sec;     
 200 sec: 19960 operations; 99.78 current ops/sec;     
 210 sec: 20961 operations; 100.09 current ops/sec;     
 220 sec: 21962 operations; 100.08 current ops/sec;     
 230 sec: 22960 operations; 99.79 current ops/sec;     
 240 sec: 23961 operations; 100.08 current ops/sec;     
 250 sec: 24963 operations; 100.19 current ops/sec;     
 260 sec: 25961 operations; 99.78 current ops/sec;     
 270 sec: 26962 operations; 100.08 current ops/sec;     
 280 sec: 27963 operations; 100.08 current ops/sec;     
 290 sec: 28962 operations; 99.89 current ops/sec;     
 300 sec: 29963 operations; 100.08 current ops/sec;     
 310 sec: 30963 operations; 99.99 current ops/sec;     
 320 sec: 31961 operations; 99.78 current ops/sec;     
 330 sec: 32963 operations; 100.19 current ops/sec; [UPDATE AverageLatency(us)=4809]    
 340 sec: 33965 operations; 100.18 current ops/sec;     
 350 sec: 34962 operations; 99.68 current ops/sec;     
 360 sec: 35966 operations; 100.39 current ops/sec;     
 370 sec: 36965 operations; 99.88 current ops/sec;     
 380 sec: 37961 operations; 99.59 current ops/sec;     
 390 sec: 38966 operations; 100.48 current ops/sec;     
 400 sec: 39965 operations; 99.89 current ops/sec;     
 410 sec: 40962 operations; 99.68 current ops/sec;     
 420 sec: 41966 operations; 100.39 current ops/sec;     
 430 sec: 42966 operations; 99.98 current ops/sec;     
 440 sec: 43962 operations; 99.59 current ops/sec;     
 450 sec: 44967 operations; 100.48 current ops/sec;     
 460 sec: 45967 operations; 99.99 current ops/sec;     
 470 sec: 46962 operations; 99.48 current ops/sec;     
 480 sec: 47967 operations; 100.49 current ops/sec;     
 490 sec: 48967 operations; 99.98 current ops/sec;     
 500 sec: 49962 operations; 99.49 current ops/sec;     
 510 sec: 50967 operations; 100.48 current ops/sec;     
 520 sec: 51967 operations; 99.99 current ops/sec;     
